naji marshall,4278594
anthony davis,6583
demar derozan,3978
nikola vucevic,6478
patrick beverley,3964
zach lavine,3064440
alperen sengun,4871144
caris levert,2991043
cedi osman,3893016
darius garland,4396907
donovan mitchell,3908809
evan mobley,4432158
isaac okoro,4432822
jabari smith,4432639
jalen green,4437244
jarrett allen,4066328
kenyon martin jr.,4431828
kevin porter jr.,4397140
ricky rubio,4011
tari eason,4433192
al horford,3213
derrick white,3078576
devin vassell,4395630
jaylen brown,3917376
malcolm brogdon,2566769
marcus smart,2990992
tre jones,4395626
zach collins,4066650
clint capela,3102529
dejounte murray,3907497
desmond bane,4066320
dillon brooks,3155526
ja morant,4279888
jaren jackson jr.,4277961
john collins,3908845
luke kennard,3913174
santi aldama,4593125
trae young,4277905
tyus jones,3135046
xavier tillman,4277964
corey kispert,4280151
daniel gafford,4278049
delon wright,3064447
deni avdija,4683021
fred vanvleet,2991230
jakob poeltl,3134908
kristaps porzingis,3102531
og anunoby,3934719
pascal siakam,3149673
cameron johnson,3138196
cole anthony,4432809
dorian finney-smith,2578185
franz wagner,4566434
gary harris,2999547
jalen suggs,4432165
markelle fultz,4066636
mikal bridges,3147657
nicolas claxton,4278067
paolo banchero,4432573
spencer dinwiddie,2580782
wendell carter jr.,4277847
cam reddish,4395627
drew eubanks,3914285
isaiah joe,4395702
jabari walker,4432446
jalen williams,4593803
jaylin williams,4432823
josh giddey,4871145
keon johnson,4432192
luguentz dort,4397020
matisse thybulle,3907498
nassir little,4395652
ryan arcidiacono,2991047
shaedon sharpe,4914336
shai gilgeous-alexander,4278073
trendon watford,4431675
trendon watford,4431675
kevin knox,4278075
donte divincenzo,3934673
draymond green,6589
jaden mcdaniels,4431671
jonathan kuminga,4433247
jordan poole,4277956
kevon looney,3155535
klay thompson,6475
mike conley,3195
rudy gobert,3032976
stephen curry,3975
bobby portis,3064482
brook lopez,3448
grayson allen,3135045
jaden ivey,4433218
jalen duren,4433621
james wiseman,4432808
jevon carter,3133635
joe ingles,2968436
khris middleton,6609
killian hayes,4683024
marvin bagley,4277848
pat connaughton,2578239
aaron nesmith,4396909
andrew nembhard,4395712
christian wood,3058254
dwight powell,2531367
isaiah jackson,4432170
jalen smith,4397189
kyrie irving,6442
luka doncic,3945274
reggie bullock,2528779
julius randle,3064514
mitchell robinson,4351852
rj barrett,4395625
cameron payne,3064230
chris paul,2779
deandre ayton,4278129
devin booker,3136193
josh okogie,4065663
kelly olynyk,2489663
ochai agbaji,4397018
talen horton-tucker,4396991
terrence ross,6619
torrey craig,2528693
walker kessler,4433136
aaron gordon,3064290
jamal murray,3936299
james harden,3992
kentavious caldwell-pope,2581018
nikola jokic,3112335
tobias harris,6440
tyrese maxey,4431678
de'aaron fox,4066259
domantas sabonis,3155942
harrison barnes,6578
keegan murray,4594327
kevin huerter,4066372
kyle anderson,2993874
malik monk,4066262
trey lyles,3136196
brandon ingram,3913176
cj mccollum,2490149
herbert jones,4277813
jonas valanciunas,6477
josh richardson,2581190
trey murphy iii,4397688
eric gordon,3431
ivica zubac,4017837
kawhi leonard,6450
mason plumlee,2488653
russell westbrook,3468
p.j. tucker,3033
jayson tatum,4065648
bam adebayo,4066261
gabe vincent,3137259
jimmy butler,6430
kevin love,3449
scottie barnes,4433134
tyler herro,4395725
bogdan bogdanovic,3037789
de'andre hunter,4065732
onyeka okongwu,4431680
dennis smith jr.,4065697
nick richards,4278076
pj washington,4278078
bennedict mathurin,4683634
giannis antetokounmpo,3032977
jordan nwora,4277883
jrue holiday,3995
t.j. mcconnell,2530530
royce o'neale,2583632
quentin grimes,4397014
lebron james,1966
nicolas batum,3416
isaiah livers,4277957
doug mcdermott,2528588
keita bates-diop,3136779
malaki branham,4565201
sandro mamukelashvili,4278580
anthony edwards,4594268
karl-anthony towns,3136195
kevin durant,3202
michael porter jr.,4278104
joel embiid,3059318
monte morris,3059310
jalen brunson,3934672
lamar stevens,4066405
austin reaves,4066457
d'angelo russell,3136776
jarred vanderbilt,4278077
keldon johnson,4395723
jaden hardy,4868423
kyle lowry,3012
tim hardaway jr.,2528210
norman powell,2595516
norman powell,2595516
josh green,4432811
maxi kleber,2960236
larry nance jr.,2580365
bryce mcgowens,4576086
chris boucher,3948153
james bouknight,4431712
mark williams,4701232
svi mykhailiuk,3133602
theo maledon,4683027
joe harris,2528794
alex caruso,2991350
coby white,4395651
patrick williams,4431687
immanuel quickley,4395724
isaiah hartenstein,4222252
josh hart,3062679
obi toppin,4278355
cory joseph,6446
eugene omoruyi,4066410
de'anthony melton,4066436
jt thor,4702233
seth curry,2326307
skylar mays,4066269
aaron wiggins,4397183
bismack biyombo,6427
johnny davis,4432356
kris dunn,2991139
bones hyland,4592492
terance mann,3907823
blake griffin,3989
mike muscala,2490089
payton pritchard,4066354
saddiq bey,4397136
sam hauser,4065804
jaden springer,4432164
jalen mcdaniels,4066731
paul reed,4278562
shake milton,3915195
dean wade,3912848
raul neto,2968361
jordan goodwin,4278402
jock landale,3146557
malcolm brogdan,2566769
deandre hunter,4065732
caleb martin,3138160
damion lee,2595209
landry shamet,3914044
ish wainwright,3059307
christian braun,4431767
bruce brown,4065670
thomas bryant,3934723
kentavious caldwell pope,2581018
vlatko cancar,4230557
jeff green,3209
reggie jackson,6443
michael porter jr,4278104
malik beasley,3907822
troy brown jr,4278508
wenyan gabriel,4066264
rui hachimura,4066648
dangelo russell,3136776
dennis schroder,3032979
jamychal green,2327577
anthony lamb,4066790
moses moody,4432171
gary payton ii,3134903
andrew wiggins,3059319
grant williams,4066218
robert williams iii,4066211
deanthony melton,4066436
georges niang,2990969
pj tucker,3033
duncan robinson,3157465
max strus,4065778
cody zeller,2579258
